Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Mahonning Valley Race Course,154,Friend,Mauro Cedillo,3/9/2023,119,7,0,20,0.05,60.5,"$1,425.00 ",70,,,,,26,4, 3/7,3,0.43,122,0
,4/4/2023,Mahonning Valley Race Course,155,Drop Anchor,Jose Bracho,3/24/2023,124,5,0,5.7,0,67.25,"$18,962.00 ",76,,,,,11,5, 3/7,3,0.43,119,1
,4/4/2023,Mahonning Valley Race Course,155,Killer Bee,Luis Gonzalez,3/17/2023,124,4,0,1.8,0,74.75,"$11,404.00 ",81,,,,,18,5,12-Jun,6,0.5,124,0
,4/4/2023,Mahonning Valley Race Course,155,On Spot,Kevin Gonzalez,2/7/2023,124,2,0,73.9,0.0833,49.75,"$6,051.00 ",50,,,,,56,4,9-Sep,9,1,119,0
,4/4/2023,Mahonning Valley Race Course,155,Fishing For Fun,Luis Batista,3/15/2023,124,1,0,7.4,0.0526,54.75,"$30,904.00 ",55,,,,,20,4, 7/8,7,0.88,124,0
,4/4/2023,Mahonning Valley Race Course,155,Alfio,Alex Gonzalez,3/6/2023,124,3,0,2.6,0.0909,68.5,"$80,996.00 ",63,,,,,29,4, 7/8,7,0.88,126,0
,4/4/2023,Mahonning Valley Race Course,155,Father Patrick,Angel Diaz,2/24/2023,124,6,0,18,0.0833,61,"$9,489.00 ",60,,,,,39,4,12-Dec,12,1,122,0
,4/4/2023,Mahonning Valley Race Course,155,One Lucky Day,Mauro Cedillo,3/24/2023,119,7,0,2.8,0.0769,64.75,"$20,628.00 ",75,,,,,11,4, 4/7,4,0.57,124,0
,4/4/2023,Mahonning Valley Race Course,156,Mystique Saboteur,Alex Gonzalez,2/20/2023,124,1,0,2.9,0.1111,73.25,"$27,230.00 ",82,,,,,43,4, 3/7,3,0.43,124,1
,4/4/2023,Mahonning Valley Race Course,156,Sally Strong,Luis Rivera,8/13/2022,124,3,0,2.1,0,79.75,"$28,222.00 ",79,,,,,234,6, 4/9,4,0.44,123,0
,4/4/2023,Mahonning Valley Race Course,156,Windy LU Who,Jose Bracho,3/14/2023,124,4,0,2.9,0.0769,86.5,"$51,080.00 ",80,,,,,21,6, 3/8,3,0.38,124,0
,4/4/2023,Mahonning Valley Race Course,156,MaureenLovesFrank,Edgar Paucar,3/17/2023,124,2,0,5.7,0.2353,75.5,"$40,275.00 ",79,,,,,18,5,12-Feb,2,0.17,120,0
