Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Tampa Bay Downs,169,Ready to Film,Marcos Meneses,2/26/2023,120,2,0,1.3,0.1667,71.25,"$13,780.00 ",66,,,,,37,4, 3/8,3,0.38,120,1
,4/4/2023,Tampa Bay Downs,169,Csilla,Laureano Sosa,3/18/2023,115,1,0,2,0.1111,67.75,"$19,215.00 ",76,,,,,17,6, 1/8,1,0.13,116,0
,4/4/2023,Tampa Bay Downs,169,Beautiful Tiz,Samy Camacho,3/25/2023,1120,6,0,2.3,0.0952,58,"$11,780.00 ",28,,,,,10,5,8-Aug,8,1,116,0
,4/4/2023,Tampa Bay Downs,169,Rapidamente,Jeremy Alicea,3/17/2023,113,5,0,16.9,0.1429,59.75,"$12,660.00 ",56,,,,,18,5, 4/7,4,0.57,113,0
,4/4/2023,Tampa Bay Downs,169,Drill's Valentine,Huber Villa-Gomez,3/19/2023,120,4,0,16.2,0.2,54.75,"$12,660.00 ",43,,,,,16,6,8-Aug,8,1,118,0
,4/4/2023,Tampa Bay Downs,169,Calendula,Darwin Rodriguez,3/19/2023,110,3,0,29,0.0833,52,"$13,572.00 ",56,,,,,16,8,6-Apr,4,0.67,115,0
,4/4/2023,Tampa Bay Downs,170,Harrow,Angel Asaurez,3/8/2023,123,5,0,1,0.4167,97.5,"$32,830.00 ",101,,,,,27,5, 1/6,1,0.17,119,1
,4/4/2023,Tampa Bay Downs,170,Smart as Me,Antonio Gallardo,3/18/2023,123,6,0,1.9,0.4286,82.5,"$85,693.00 ",89,,,,,17,4,10-Jan,1,0.1,119,0
,4/4/2023,Tampa Bay Downs,170,Ready to Fly,Samuel Marin,9/24/2022,119,2,0,17.3,0.25,82.75,"$17,930.00 ",87,,,,,192,5, 4/9,4,0.44,122,0
,4/4/2023,Tampa Bay Downs,170,Barnegat Light,Angel Ridriguez,10/12/2022,119,4,0,6.4,0,90.5,"$21,490.00 ",88,,,,,174,5,6-Feb,2,0.33,122,0
,4/4/2023,Tampa Bay Downs,170,Whiskey Plank,Madeline Rowland,3/10/2023,119,3,0,9.6,0.125,84,"$11,845.00 ",93,,,,,25,5,10-Feb,2,0.2,119,0
,4/4/2023,Tampa Bay Downs,170,Cajun Casanova,Keiber Coa,3/17/2023,120,1,0,11.5,0.1818,81,"$50,770.00 ",84,,,,,18,6, 3/7,3,0.43,120,0
,4/4/2023,Tampa Bay Downs,171,Chicks Dig Scars,Samy Camacho,3/17/2023,122,4,0,1.4,0.2308,94.5,"$86,720.00 ",91,,,,,18,5, 1/7,1,0.14,118,1
,4/4/2023,Tampa Bay Downs,171,Sogno Di Campione (CHI),Marcos Meneses,3/17/2023,118,3,0,1.9,0.5,44.75,"$41,514.00 ",87,,,,,18,5, 2/7,2,0.29,118,0
,4/4/2023,Tampa Bay Downs,171,Machismo,Daniel Centeno,3/17/2023,118,2,0,4.9,0.2857,94.75,"$14,010.00 ",99,,,,,18,8,6-Mar,3,0.5,118,0
,4/4/2023,Tampa Bay Downs,171,Happy Cajun,Jose Ferrer,3/26/2023,120,5,0,7.5,0.4,84.25,"$29,445.00 ",61,,,,,9,4,9-Sep,9,1,118,0
,4/4/2023,Tampa Bay Downs,171,Bumperdoo,Hector Diaz Jr,3/17/2023,118,6,0,8.1,0.2353,92,"$19,941.00 ",78,,,,,18,7, 5/7,5,0.71,120,0
,4/4/2023,Tampa Bay Downs,171,Joyful Heart,Vernon Bush,1/14/2023,121,1,0,12.9,0.3529,84.25,"$1,032.00 ",79,,,,,80,7,9-Jun,6,0.67,120,0
,4/4/2023,Tampa Bay Downs,172,Trappezoid,Ricardo Feliciano,3/19/2023,119,3,0,5.4,0.1429,80.5,"$14,745.00 ",77,,,,,16,8,9-Jun,6,0.67,119,1
,4/4/2023,Tampa Bay Downs,172,Aries Reigns,Laureano Sosa,3/18/2023,116,7,0,18.8,0.1667,65.5,"$26,625.00 ",78,,,,,17,4,10-Jan,1,0.1,124,0
,4/4/2023,Tampa Bay Downs,172,Cuz,Samy Camacho,3/8/2023,119,6,0,3.6,0.2,72.75,"$14,045.00 ",74,,,,,27,5, 2/5,2,0.4,119,0
,4/4/2023,Tampa Bay Downs,172,Savage,Hector Diaz Jr,3/25/2023,119,4,0,4.5,0.1818,82.5,"$24,460.00 ",74,,,,,10,6, 3/7,3,0.43,120,0
,4/4/2023,Tampa Bay Downs,172,It's Fate ,Mario  Fuentes,3/18/2023,119,2,0,14.3,0.1429,78,"$16,950.00 ",80,,,,,17,8, 1/7,1,0.14,119,0
,4/4/2023,Tampa Bay Downs,172,Indian Buzz ,Jose Batista,2/19/2023,119,1,0,3.9,0.2143,82.75,"$24,290.00 ",77,,,,,44,6, 8/9,8,0.89,121,0
,4/4/2023,Tampa Bay Downs,172,Ghost Stalker ,Daniel Centeno,3/19/2023,119,5,0,1.9,0.1579,83.5,"$8,484.00 ",78,,,,,16,5, 5/9,5,0.56,119,0
,4/4/2023,Tampa Bay Downs,173,Lizqueenfluerdelis,Marcos Meneses,3/22/2023,121,7,0,5.4,0.1,64.25,"$21,623.00 ",66,,,,,13,5, 5/8,5,0.63,121,1
,4/4/2023,Tampa Bay Downs,173,Wasser,Samuel Marin,3/22/2023,119,6,0,2.5,0.0476,67.25,"$13,405.00 ",71,,,,,13,4,8-Feb,2,0.25,119,0
,4/4/2023,Tampa Bay Downs,173,She's Just Quality,Laureano Sosa,2/22/2023,112,5,0,3,0.2,70.75,"$14,817.00 ",65,,,,,41,6,7-Jul,7,1,121,0
,4/4/2023,Tampa Bay Downs,173,Investment Income,Jesus Castanon,2/22/2023,119,4,0,1.5,0.1,72.25,"$6,548.00 ",70,,,,,41,5, 5/7,5,0.71,119,0
,4/4/2023,Tampa Bay Downs,173,Mama Longlegs,Vernon Bush,3/15/2023,121,1,0,35.8,0.0714,54.25,"$2,640.00 ",33,,,,,20,7, 4/7,4,0.57,121,0
,4/4/2023,Tampa Bay Downs,173,Challenge Princess,Jose Batista,2/19/2023,119,3,0,12.1,0,48.75,$832.00 ,58,,,,,44,4, 5/8,5,0.63,122,0
,4/4/2023,Tampa Bay Downs,173,Dura the Explorer,Richard Mitchell,3/5/2023,119,2,0,42.2,0.0909,40.75,"$1,574.00 ",29,,,,,30,4,12-Dec,12,1,111,0
,4/4/2023,Turf Paradise,174,Cashanova,Heribert Martinez,3/29/2023,126,4,0,0.3,0.0588,94.5,"$41,671.00 ",97,,,,,6,7, 1/6,1,0.17,126,1
,4/4/2023,Turf Paradise,174,Willy the Cobbler,Karlo Lopez,3/13/2023,124,3,0,3.7,0.25,91.25,"$33,947.00 ",95,,,,,22,5, 1/6,1,0.17,122,0
,4/4/2023,Turf Paradise,174,Blue Skye Jade,Daylor Berios-Lopez,3/21/2023,117,2,0,12.3,0.1333,79.75,"$34,686.00 ",90,,,,,14,7,6-Feb,2,0.33,119,0
,4/4/2023,Turf Paradise,174,Joker Matt,Alexander Marti,3/20/2023,122,1,0,10.5,0.0455,83.75,"$21,542.00 ",84,,,,,15,4, 8/9,8,0.89,122,0
,4/4/2023,Turf Paradise,174,Of Good Report,Harry Hernandez,3/18/2023,122,6,0,6.4,0.0526,90.5,"$22,163.00 ",82,,,,,17,7,6-Apr,4,0.67,122,0
,4/4/2023,Turf Paradise,174,Lifesbeengoodsofar,Glenn Corbett ,3/21/2023,122,7,0,49.2,0.0769,74.75,"$16,807.00 ",87,,,,,14,7,6-Mar,3,0.5,124,0
,4/4/2023,Turf Paradise,174,Pharaoh's Prophecy,Luis Valenzula,2/13/2023,122,5,0,54.5,0.1053,61.25,"$11,059.00 ",43,,,,,50,4,5-May,5,1,124,0
,4/4/2023,Turf Paradise,175,Crazy about You,Jose Zunino,8/25/2022,124,5,0,2.1,0,49.5,"$19,341.00 ",17,,,,,222,5, 7/9,7,0.78,125,1
,4/4/2023,Turf Paradise,175,Margot's Girl,Alexis Valdes,3/26/2023,124,6,0,1,0.0909,69,"$26,170.00 ",65,,,,,9,4, 5/7,4,0.71,124,0
,4/4/2023,Turf Paradise,175,Maclean's Bella,Harry Hernandez,3/18/2023,124,3,0,6.1,0.1111,43.5,"$19,838.00 ",46,,,,,17,4, 5/6,5,0.83,122,0
,4/4/2023,Turf Paradise,175,Lip's of Wine,Enrique Garcia,2/27/2023,124,7,0,18.8,0.0625,49.25,"$3,425.00 ",66,,,,,36,4, 5/8,5,0.63,124,0
,4/4/2023,Turf Paradise,175,Rattleme,Alexander Marti,3/20/2023,124,1,0,10.2,0.1,59.75,"$12,631.00 ",49,,,,,15,4, 3/5,3,0.6,124,0
,4/4/2023,Turf Paradise,175,She's a Bossy Girl,Luis Valenzuela,3/20/2023,124,4,0,6.3,0.1,64.75,"$9,773.00 ",50,,,,,15,4, 2/5,2,0.4,124,0
,4/4/2023,Turf Paradise,175,Mischievous Emma ,Micheal Ybarra,1/17/2023,128,2,0,25.4,0.3333,30.5,"$12,507.00 ",51,,,,,77,4, 1/6,1,0.17,126,0
,4/4/2023,Turf Paradise,176,Tempted Mission,Fausto Da Silva,3/13/2023,122,1,0,0.9,0.1429,81,"$41,377.00 ",82,,,,,22,5, 2/7,2,0.29,122,1
,4/4/2023,Turf Paradise,176,Guest Check,Ajhari Williams,3/13/2023,122,3,0,5.7,0.0769,78,"$19,971.00 ",83,,,,,22,5, 3/7,3,0.43,122,0
,4/4/2023,Turf Paradise,176,Toil and Trouble,Karlo Lopez,3/21/2023,122,2,0,8.4,0,80.5,"$19,763.00 ",82,,,,,14,5, 5/6,5,0.83,122,0
,4/4/2023,Turf Paradise,176,Bodemonster,Allyssa Morales,3/20/2023,122,6,0,4.2,0.0833,77.75,"$14,522.00 ",91,,,,,15,5,9-Jun,6,0.67,124,0
,4/4/2023,Turf Paradise,176,Yankee Humor,Harry Hernandez,3/14/2023,117,7,0,4.1,0.5,30,"$13,238.00 ",45,,,,,21,3,6-Jun,6,1,121,0
,4/4/2023,Turf Paradise,176,Renew ,Jose Zunino,3/27/2023,122,5,0,41.3,0.1429,68.25,"$15,251.00 ",66,,,,,8,4,9-Sep,9,1,124,0
,4/4/2023,Turf Paradise,176,Wrong Spot,Glenn Corbett ,2/16/2023,116,4,0,10.4,1,17.5,"$18,922.00 ",70,,,,,47,3, 1/7,1,0.14,121,0
,4/4/2023,Turf Paradise,177,Square Footage,Luis Valenzuela,3/14/2023,124,1,0,5.3,0.2222,45.75,"$21,116.00 ",66,,,,,21,4,6-Jun,6,1,122,1
,4/4/2023,Turf Paradise,177,Flyin By,Ajhari Williams,2/25/2023,124,2,0,4.4,0.1818,62.5,"$22,973.00 ",70,,,,,38,4, 1/6,1,0.17,122,0
,4/4/2023,Turf Paradise,177,Bengal Tiger,Ezequiel Lara,3/1/2023,124,7,0,0.9,0.3333,69.5,"$3,953.00 ",74,,,,,34,5,6-Apr,4,0.67,124,0
,4/4/2023,Turf Paradise,177,Thatsalotofbling,Alexis Valdes,3/13/2023,124,3,0,19.6,0.0625,59,"$30,228.00 ",46,,,,,22,5,8-Aug,8,1,124,0
,4/4/2023,Turf Paradise,177,Twitterati,Alyssa Morales,3/13/2023,124,5,0,6.5,0.0909,63.75,"$4,512.00 ",69,,,,,22,7,8-Apr,4,0.5,124,0
,4/4/2023,Turf Paradise,177,Palace Star,Micheal Ybarra,3/21/2023,128,6,0,12.3,0.0556,63.5,"$3,414.00 ",57,,,,,14,5, 5/6,5,0.83,127,0
,4/4/2023,Turf Paradise,177,Ima Trouble Maker,Enrique Garcia,3/4/2023,124,4,0,6,0.2222,56,"$13,453.00 ",55,,,,,31,4, 5/7,5,0.71,126,0
,4/4/2023,Will Rogers Down,178,Brother Aaron,Obed Sanchez,3/20/2023,124,1,0,2,0.2308,85.25,"$37,994.00 ",87,,,,,15,7, 1/7,1,0.14,124,1
,4/4/2023,Will Rogers Down,178,Rowdy River,Alberto Pusac,3/20/2023,118,3,0,0.7,0.75,74,"$50,233.00 ",79,,,,,15,3, 1/8,1,0.13,118,0
,4/4/2023,Will Rogers Down,178,Euro Suprise,Richard Eramie,3/7/2023,124,4,0,2.8,0.4,76,"$3,610.00 ",63,,,,,28,6,9-Sep,9,1,124,0
,4/4/2023,Will Rogers Down,178,Onomatopoeia,Gerado Mora,3/7/2023,124,5,0,51.8,0,72.25,"$2,595.00 ",72,,,,,28,7,10-Apr,4,0.4,123,0
,4/4/2023,Will Rogers Down,178,Okie Union,Alfredo Triana Jr,9/30/2022,124,2,0,33.7,0.25,49,"$1,410.00 ",0,,,,,186,5,8-Aug,8,1,124,0
,4/4/2023,Will Rogers Down,179,Major Griffin,Alfredo Triana Jr,3/27/2023,124,6,0,6.2,0.0714,59.5,"$15,428.00 ",66,,,,,8,4, 3/5,3,0.6,124,1
,4/4/2023,Will Rogers Down,179,Elusive Freud,Obed Sanchez,3/21/2023,124,1,0,4.5,0.0526,59.5,"$10,498.00 ",64,,,,,14,4,8-Apr,4,0.5,124,0
,4/4/2023,Will Rogers Down,179,Freer,Kylee Jordan,3/21/2023,124,4,0,0.7,0.0667,52.75,"$5,349.00 ",66,,,,,14,5,8-Feb,2,0.25,124,0
,4/4/2023,Will Rogers Down,179,Grayghostgranville,Gustavo Herrera,9/3/2022,124,5,0,10,0.1429,54.25,"$15,052.00 ",55,,,,,213,4,13-Jun,6,0.46,119,0
,4/4/2023,Will Rogers Down,179,Hellephent,Alberto Pusac,3/7/2023,124,3,0,3.6,0.1111,58.5,"$1,294.00 ",54,,,,,28,4, 4/9,4,0.44,124,0
,4/4/2023,Will Rogers Down,179,Hes Big Chief ,Lindsey Herbert,3/14/2023,119,2,0,55.7,0.1429,39.75,$900.00 ,42,,,,,21,6, 4/5,4,0.8,119,0
,4/4/2023,Will Rogers Down,180,Crazy Lover,Alberto Pusac,3/21/2023,124,3,0,5.5,0.0625,61.5,"$34,993.00 ",56,,,,,14,5,9-Jun,6,0.67,124,1
,4/4/2023,Will Rogers Down,180,El Blaze,Obed Sanchez,3/7/2023,124,4,0,3.6,0.0909,61.75,"$9,144.00 ",64,,,,,28,4,11-Jun,6,0.55,124,0
,4/4/2023,Will Rogers Down,180,Mingus,Alfredo Triana Jr,3/21/2023,121,1,0,10.3,0.2,50.75,"$25,739.00 ",56,,,,,14,3, 5/9,5,0.56,120,0
,4/4/2023,Will Rogers Down,180,Just Okie,Gerado Mora,3/21/2023,121,5,0,2.1,0.1429,64.5,"$16,376.00 ",69,,,,,14,3,9-Mar,3,0.33,120,0
,4/4/2023,Will Rogers Down,180,Gospel Truth,Chad Lindsay,3/21/2023,124,2,0,8,0.125,44.25,"$14,022.00 ",62,,,,,14,4, 4/9,4,0.44,124,0
,4/4/2023,Will Rogers Down,180,Papa Bill,Richard Eramie,3/21/2023,121,6,0,2,0.1667,52.75,"$17,870.00 ",69,,,,,14,3, 1/7,1,0.14,121,0
,4/4/2023,Will Rogers Down,181,Paluxy,Kevin Roman,12/17/2022,126,1,0,0.45,0.3846,91.25,"$89,700.00 ",94,,,,,108,5, 5/8,5,0.63,121,1
,4/4/2023,Will Rogers Down,181,Cowboy Mischief,Gerado Mora,3/5/2023,117,2,0,14.3,0,67.5,"$61,325.00 ",75,,,,,30,7,8-Aug,8,1,119,0
,4/4/2023,Will Rogers Down,181,Royally,Alfredo Triana Jr,3/13/2023,121,5,0,8.2,0.1818,78,"$13,987.00 ",83,,,,,22,6, 2/5,2,0.4,120,0
,4/4/2023,Will Rogers Down,181,Newport Beach,Richard Eramie,3/17/2023,122,3,0,3.1,0.1,90.75,"$9,040.00 ",89,,,,,18,8, 2/5,2,0.4,119,0
,4/4/2023,Will Rogers Down,181,Rowdy Rascal,Alex Birzer,3/13/2023,120,4,0,6.9,0.2222,71.25,"$7,328.00 ",77,,,,,22,4,5-May,5,1,124,0
,4/4/2023,Will Rogers Down,182,Just Chillin,Alfredo Triana Jr,3/13/2023,121,1,0,2.4,0,55,"$22,838.00 ",54,,,,,22,5, 5/6,5,0.83,121,1
,4/4/2023,Will Rogers Down,182,Doctor Tink,Richard Eramie,3/13/2023,121,2,0,1.1,0.2727,72.75,"$26,171.00 ",65,,,,,22,5,6-Feb,2,0.33,124,0
,4/4/2023,Will Rogers Down,182,Box Seat,Alex Birzer,11/8/2022,121,4,0,2.3,0.2857,63,"$6,376.00 ",37,,,,,147,7,6-Jun,6,1,122,0
,4/4/2023,Will Rogers Down,182,Spanish Hombre,Chad Lindsay,3/10/2023,121,5,0,6.7,0,75.25,"$15,711.00 ",76,,,,,25,10, 5/7,5,0.71,121,0
,4/4/2023,Will Rogers Down,182,Candy's Little Tip,Lindsey Herbert,11/18/2022,116,3,0,29.4,0.125,51,"$15,940.00 ",63,,,,,137,7,12-Aug,8,0.67,121,0
,4/4/2023,Will Rogers Down,183,Sure Shot Shelly,Alfredo Triana Jr,3/20/2023,124,6,0,2.2,0,65.25,"$41,061.00 ",63,,,,,15,5, 4/9,4,0.44,124,1
,4/4/2023,Will Rogers Down,183,Hot Tamalli,Chad Lindsay,11/30/2022,118,1,0,6.6,0.1429,58,"$6,044.00 ",45,,,,,125,3, 7/9,7,0.78,120,0
,4/4/2023,Will Rogers Down,183,Princess Ball,Gustavo Herrera,3/20/2023,124,8,0,13,0.5,29,"$20,047.00 ",65,,,,,15,4, 1/7,1,0.14,124,0
,4/4/2023,Will Rogers Down,183,La Paradiso,Kylee Jordan,3/6/2023,118,2,0,19,0.3333,34.25,"$17,453.00 ",55,,,,,29,3, 1/5,1,0.2,118,0
,4/4/2023,Will Rogers Down,183,Billie Baby,Kevin Roman,3/13/2023,118,4,0,40.2,1,13,"$10,336.00 ",52,,,,,22,3, 1/6,1,0.17,118,0
,4/4/2023,Will Rogers Down,183,Always Be Dancin,Alex Birzer,3/20/2023,119,10,0,24.8,0.1667,48.75,$160.00 ,54,,,,,15,3,9-Sep,9,1,118,0
,4/4/2023,Will Rogers Down,183,Just Rosie,Alberto Pusac,3/20/2023,124,9,0,33.1,0.2,43.25,"$20,972.00 ",49,,,,,15,5,7-Jul,7,1,124,0
,4/4/2023,Will Rogers Down,183,Total Insanity,Lindsey Herbert,12/16/2022,124,11,0,56.1,0.25,42.5,$80.00 ,32,,,,,109,4, 5/9,5,0.56,120,0
,4/4/2023,Will Rogers Down,183,Candy's a Dandy,Richard Eramie,3/20/2023,124,5,0,3,0.1429,62.25,"$12,860.00 ",64,,,,,15,4,9-Mar,3,0.33,124,0
,4/4/2023,Will Rogers Down,183,Stormy Bisonette,Benny Landeros,3/20/2023,125,3,0,4,0,52.75,"$39,202.00 ",67,,,,,15,5, 2/9,2,0.22,124,0
,4/4/2023,Will Rogers Down,183,Gospel Molly,Obed Snachez,3/20/2023,124,7,0,9,0.1,51.5,"$14,972.00 ",61,,,,,15,4,9-Jun,6,0.67,124,0
,4/4/2023,Aqueduct,184,Cheeky Tico,Manuel Franco,3/18/2023,125,4,0,2.3,0.1,71.75,"$59,480.00 ",78,15%,142,,,17,4,6-Mar,3,0.5,120,1
,4/4/2023,Aqueduct,184,Midnight Chrome,Abener Adorno ,3/28/2023,125,2,0,4.3,0,66,"$50,000.00 ",64,,,,,7,4,9-Sep,9,1,121,0
,4/4/2023,Aqueduct,184,Ghostlyprince,Jaime Torres,3/18/2023,120,3,0,14.3,0,70.75,"$67,780.00 ",69,,,,,17,5, 5/6,5,0.83,113,0
,4/4/2023,Aqueduct,184,Papi On Ice,Omar Hernandez Moreno,3/25/2023,120,5,0,14.9,0.0556,60.5,"$40,500.00 ",71,,,,,10,4, 2/7,2,0.29,120,0
,4/4/2023,Aqueduct,184,Sorpreso,Trevor McCarthy,3/18/2023,120,1,0,3,0.1667,53.25,"$29,652.00 ",74,12%,42,,,17,3, 1/9,1,0.11,118,0
,4/4/2023,Aqueduct,184,Bert bert Bert,Kendrick Carmouche,1/26/2023,127,6,0,2.05,0.1429,74.5,"$29,665.00 ",70,,,,,68,4,4-Apr,4,1,116,0
,4/4/2023,Aqueduct,185,Balpool,Manuel Franco,3/10/2023,122,3,0,2.85,0.3333,55.25,"$174,800.00 ",72,15%,142,,,25,3,8-Apr,4,0.5,124,1
,4/4/2023,Aqueduct,185,Fancy Azteca,Jose Lezcano ,3/18/2023,118,4,0,2.3,0.5,60.5,"$112,030.00 ",59,,,,,17,3,6-Apr,4,0.67,118,0
,4/4/2023,Aqueduct,185,Crimson,Josew Ortiz,3/3/2023,122,1,0,3.15,1,16.25,"$41,040.00 ",65,,,,,32,3, 1/7,1,0.14,124,0
,4/4/2023,Aqueduct,185,La Vita Sofia,Trevor McCarthy,3/4/2023,122,2,0,4.4,0.1667,67.75,"$40,745.00 ",65,12%,42,,,31,3, 5/6,5,0.83,118,0
,4/4/2023,Aqueduct,185,Aniston,Dylan Davis,1/14/2023,122,5,0,3.85,0.3333,29.75,"$7,280.00 ",0,,,,,80,3,5-May,5,1,120,0
,4/4/2023,Aqueduct,186,April Antics,Romero Maragh,3/19/2023,120,2,0,0.85,0,59.5,"$130,770.00 ",48,,,,,16,5, 2/9,2,0.22,125,1
,4/4/2023,Aqueduct,186,Bravo Regina,Trevor McCarthy,3/19/2023,120,1,0,2.3,0,55.25,"$17,530.00 ",38,12%,42,,,16,5, 5/9,5,0.56,125,0
,4/4/2023,Aqueduct,186,Ricelle ,Madison Olver,3/26/2023,113,5,0,3.9,0.0833,56.5,"$24,803.00 ",51,,,,,9,5, 5/7,5,0.71,122,0
,4/4/2023,Aqueduct,186,Sweet Sensation,Heman Harkie,3/19/2023,120,4,0,8.3,0.0667,39.25,"$20,370.00 ",38,,,,,16,4, 4/9,4,0.44,125,0
,4/4/2023,Aqueduct,186,Crystal Orb,Omar Hernandez Moreno,3/19/2023,113,3,0,20.1,0,32.75,"$9,036.00 ",21,,,,,16,5, 7/9,7,0.78,118,0
,4/4/2023,Aqueduct,187,Listentoyourheart,Katie Davis,2/17/2023,118,2,0,5.6,0.2,86.75,"$106,870.00 ",89,,,,,46,6, 3/7,3,0.43,118,1
,4/4/2023,Aqueduct,187,Awesome Native,Manuel Franco,2/19/2023,122,5,0,0.6,0.6667,73.25,"$104,973.00 ",96,15%,142,,,44,4, 5/7,5,0.71,118,0
,4/4/2023,Aqueduct,187,Prince of Pharoahs ,Kendrick Carmouche,2/25/2023,119,4,0,4.3,0.1667,79.5,"$120,163.00 ",91,,,,,38,6, 2/7,2,0.29,120,0
,4/4/2023,Aqueduct,187,First Deputy,Ghenson (Jason) Huayas,3/12/2023,113,6,0,23.5,0.2,84.25,"$67,020.00 ",89,,,,,23,6,6-Feb,2,0.33,111,0
,4/4/2023,Aqueduct,187,Breaking Stones,Andre Worrie,2/25/2023,120,1,0,18.2,0.1579,75.5,"$65,545.00 ",97,,,,,38,5, 1/7,1,0.14,120,0
,4/4/2023,Aqueduct,187,Durkin's Call,Dylan Davis,3/25/2023,118,7,0,14.8,0.0833,87.75,"$28,088.00 ",82,,,,,10,7, 7/9,7,0.78,118,0
,4/4/2023,Aqueduct,187,Writer's Regret,Eric Cancel,3/12/2023,120,3,0,10.4,0.1667,86,"$84,025.00 ",74,,,,,23,5,6-Apr,4,0.67,120,0
,4/4/2023,Aqueduct,188,Easter (FR),Trevor McCarthy,6/30/2022,127,4,0,2.45,0,69.75,"$142,100.00 ",99,12%,42,,,278,5, 2/9,2,0.22,124,1
,4/4/2023,Aqueduct,188,Shutters,Manuel Franco,9/15/2022,127,5,0,1.7,1,86,"$40,040.00 ",91,15%,142,,,201,5, 1/8,1,0.13,124,0
,4/4/2023,Aqueduct,188,Emboite (IRE),Jose Lezcano,10/22/2022,125,3,0,4.5,0.1429,89,"$11,265.00 ",96,,,,,164,4, 5/8,5,0.63,118,0
,4/4/2023,Aqueduct,188,So High (GB),Luis Rodriguez Castro,3/5/2023,127,2,0,12.2,0,91.75,"$32,220.00 ",79,,,,,30,7,12-May,5,0.42,120,0
,4/4/2023,Aqueduct,188,Constitutionlawyer,Dylan Davis,11/19/2022,127,6,0,3.95,0.1111,87.25,"$56,430.00 ",92,,,,,136,4,10-Mar,3,0.3,120,0
,4/4/2023,Aqueduct,188,Standup,Jaime Torres,3/25/2023,120,7,0,38.5,0.0588,70.5,"$11,520.00 ",74,,,,,10,7, 5/9,5,0.56,123,0
,4/4/2023,Aqueduct,188,Giant's Fire,Jose Gomez,3/11/2023,125,1,0,16.4,0.25,67.25,"$2,415.00 ",48,,,,,24,4,9-Sep,9,1,113,0
,4/4/2023,Aqueduct,189,Mommasgottarun,Eric Cancel,4/2/2023,117,6,0,7,0.3571,90.75,"$200,600.00 ",94,,,,,2,4,5-May,5,1,118,1
,4/4/2023,Aqueduct,189,Funny How,Katie Davis,2/12/2023,118,5,0,2.75,0.7143,88.25,"$132,725.00 ",101,,,,,51,4, 1/6,1,0.17,118,0
,4/4/2023,Aqueduct,189,Hydra,Jose Gomez,2/10/2023,115,4,0,64.25,0.4545,81.75,"$104,660.00 ",77,,,,,53,7, 5/7,5,0.71,123,0
,4/4/2023,Aqueduct,189,Rossa Veloce,Jose Ortiz,3/11/2023,119,7,0,1.35,0.4615,99.75,"$133,075.00 ",106,,,,,24,5, 1/7,1,0.14,120,0
,4/4/2023,Aqueduct,189,Gerrymander,Manuel Franco,9/24/2022,122,1,0,2.45,0.25,87.25,"$92,500.00 ",76,15%,142,,,192,4, 8/9,8,0.89,124,0
,4/4/2023,Aqueduct,189,Meraviglioso,Jaime Torres,3/25/2023,115,3,0,68.25,0.1538,72,"$51,860.00 ",66,,,,,10,4,6-Mar,3,0.5,119,0
,4/4/2023,Aqueduct,189,Easy to Bless,Jacqueline Davis,3/11/2023,116,2,0,16.2,0.3333,83.5,"$68,365.00 ",86,,,,,24,5, 4/7,4,0.57,118,0
,4/4/2023,Evangeline Downs,190,Gee Gee ,C.j. McMahon,1/28/2023,120,2,0,1.9,0.0833,60,"$6,840.00 ",52,,,,,66,5, 5/9,5,0.56,117,1
,4/4/2023,Evangeline Downs,190,Peaceful Vision,Thomas Pompell,3/23/2023,117,3,0,3.4,0.0714,51.5,"$13,135.00 ",46,,,,,12,6,10-Jul,7,0.7,121,0
,4/4/2023,Evangeline Downs,190,Be a Bandit,Vicente Del-Cid,3/16/2023,117,4,0,33,0.05,47.75,"$7,920.00 ",34,,,,,19,6,7-Jul,7,1,116,0
,4/4/2023,Evangeline Downs,190,Finnleys Encore,Joe Stokes,2/17/2023,117,1,0,3.2,0.125,60.75,"$6,550.00 ",64,,,,,46,5,9-Mar,3,0.33,117,0
,4/4/2023,Evangeline Downs,190,Kind Ways,Elio Barrera,2/15/2023,115,8,0,7.5,0.0625,49,"$8,280.00 ",53,,,,,48,5, 4/7,4,0.57,112,0
,4/4/2023,Evangeline Downs,190,Rose Crown,Joel Dominguez,3/23/2023,117,7,0,10,0,53.25,"$7,550.00 ",51,,,,,12,6,10-May,5,0.5,121,0
,4/4/2023,Evangeline Downs,190,Kick N Kiss,Gerad Melancon,3/2/2023,117,6,0,42.1,0.0769,42.5,$510.00 ,23,,,,,33,7, 8/9,8,0.89,116,0
,4/4/2023,Evangeline Downs,190,Tensas Virginia,Timothy Thornton,2/9/2023,117,5,0,5.8,0.2,52,"$9,300.00 ",68,,,,,54,4, 1/8,1,0.13,117,0
,4/4/2023,Evangeline Downs,191,Magna Colors,Juan Vargas,2/24/2023,123,4,0,18.3,0.25,43,"$27,710.00 ",47,,,,,39,6,10-Jan,1,0.1,123,1
